Tỉnh/Thành phố,Tên trạm,Huyện,Tổng lượng mưa,Tình trạng,Dấu thời gian,Thời gian cập nhập
Lâm Đồng,Đại Nga,phường B'Lao,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đắk Gằn 3,xã Đắk Mil,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Lộc Ngãi 3,xã Bảo Lâm 1,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Hộc Tám (1),xã Hàm Liêm,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,La Dạ 2,xã La Dạ,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ MRi 1,xã Đạ Huoai 2,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Ploa - Đạ Huoai,xã Đạ Huoai 3,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Cẩm Hang (1),xã Đông Giang,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,B'Lá,xã Bảo Lâm 4,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-LT Sông Dinh (1),xã Suối Kiết,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Lộc Thành - Bảo Lâm,xã Bảo Lâm 3,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đập tràn thủy điện Bảo Lộc,xã Bảo Lâm 3,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Gia Hiệp,xã Gia Hiệp,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Xã Đam'bri - Bảo Lộc,phường 2 Bảo Lộc,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Phi Tô - Lâm Hà,xã Nam Hà Lâm Hà,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Suối Đá (1),xã Hồng Sơn,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Suối Vàng,phường Lang Biang - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ K'Nàng - Đam Rông,xã Đam Rông 1,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Sar,xã Lạc Dương,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Cà Giây (1),xã Hải Ninh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Tà Nung - TP Đà Lạt,phường Cam Ly - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Thị trấn Ma Đa Gui - Đạ Huoai,xã Đạ Huoai,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Tà Mon (1),xã Tân Lập,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,B'Lá - Bảo Lâm,xã Bảo Lâm 4,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Phước Cát 2 - Cát Tiên,xã Cát Tiên 2,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đức Mạnh 2,xã Đức Lập,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Trung tâm hành chính - Đà Lạt,phường Xuân Hương - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Kho,xã Đạ Tẻh 2,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Lộc Phú - Bảo Lâm,xã Bảo Lâm 4,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Gung Ré,xã Di Linh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Rô Men - Đam Rông,xã Đam Rông 2,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đồng Nai Thượng - Cát Tiên,xã Cát Tiên 3,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Suối Kiết 3,xã Suối Kiết,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Ninh Loan -  Đức Trọng,xã Tà Hine,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Ròn - Đơn Dương,xã Đơn Dương,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,An Nhơn - Đạ Tẻh,xã Đạ Tẻh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Hương Lâm - Đạ Tẻh,xã Đạ Tẻh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đoàn Kết,xã Đạ Huoai 3,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Tân Rai,xã Bảo Lâm 1,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Xuân Trường - TP Đà Lạt,phường Xuân Trường - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Đạ Tẻh,xã Đạ Tẻh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Sông Khán (2),xã Hàm Thuận Bắc,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Sơn Điền,xã Sơn Điền,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Nam Ninh - Cát Tiên,xã Cát Tiên,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Phan Dũng (1),xã Tuy Phong,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Quảng Khê,xã Quảng Khê,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Sông Quao (1),xã Đông Giang,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Lạc Lâm - Đơn Dương,xã Ka Đô,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Tu Tra -  Đơn Dương,xã Đơn Dương,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Thị trấn Cát Tiên - Cát Tiên,xã Cát Tiên,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,TLBT-Sông Dinh 3 (4),xã Tân Minh,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Lạc Dương,phường Lang Biang - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
Lâm Đồng,Trường cao đẳng du lịch Đà Lạt,phường Lang Biang - Đà Lạt,0.0,Không mưa,2026-01-24 19:00:00,24/01/2026 19:19:59
